Date: 1-1-2022
Player: R. Bullock, line: O 2.5, odds: (-110)
Player: J. Brunson, line: O 3.5, odds: (-110)
Player: D. Green, line: O 7.5, odds: (-125)
Player: D. Finney-Smith, line: O 4.5, odds: (-115)
Player: T. Hardaway Jr., line: O 2.5, odds: (-180)
Player: N. Reid, line: O 3.5, odds: (-135)
Player: M. Muscala, line: O 2.5, odds: (-135)
Player: A. Edwards, line: O 5.5, odds: (-105)
Player: J. Robinson-Earl, line: O 5.5, odds: (-110)
Player: K. Williams, line: O 2.5, odds: (-185)
Player: K. Towns, line: O 9.5, odds: (+105)
Player: I. Roby, line: O 4.5, odds: (+120)
Player: D. Bazley, line: O 5.5, odds: (+115)
Player: J. Giddey, line: O 6.5, odds: (-110)
Player: P. Beverley, line: O 4.5, odds: (-120)
Player: J. Vanderbilt, line: O 9.5, odds: (-125)
Player: A. Pokusevski, line: O 5.5, odds: (-142)
Player: M. Beasley, line: O 2.5, odds: (-145)
Player: A. Wiggins, line: O 3.5, odds: (-165)
Player: D. Russell, line: O 3.5, odds: (+110)
Player: J. McDaniels, line: O 4.5, odds: (EVEN)
Player: S. Gilgeous-Alexander, line: O 4.5, odds: (-135)
Player: K. Middleton, line: O 4.5, odds: (-150)
Player: J. Holiday, line: O 4.5, odds: (-110)
Player: K. Birch, line: O 4.5, odds: (+110)
Player: O.G. Anunoby, line: O 5.5, odds: (+110)
Player: G. Antetokounmpo, line: O 12.5, odds: (+110)
Player: P. Siakam, line: O 8.5, odds: (-115)
Player: B. Portis Jr., line: O 8.5, odds: (EVEN)
Player: D. Cousins, line: O 6.5, odds: (-125)
Player: W. Matthews, line: O 2.5, odds: (-110)
Player: S. Barnes, line: O 7.5, odds: (+115)
Player: F. VanVleet, line: O 4.5, odds: (-130)
Player: G. Trent Jr., line: O 2.5, odds: (-125)
Player: C. Boucher, line: O 4.5, odds: (-135)
Player: J. Nwora, line: O 6.5, odds: (-115)
Player: M. Conley, line: O 3.5, odds: (-105)
Player: R. Gobert, line: O 14.5, odds: (-105)
Player: N. Jokic, line: O 12.5, odds: (EVEN)
Player: A. Rivers, line: O 2.5, odds: (+125)
Player: R. O'Neale, line: O 4.5, odds: (-155)
Player: F. Campazzo, line: O 2.5, odds: (-165)
Player: J. Clarkson, line: O 5.5, odds: (-135)
Player: A. Gordon, line: O 4.5, odds: (+110)
Player: M. Morris, line: O 2.5, odds: (+140)
Player: B. Hyland, line: O 2.5, odds: (EVEN)
